start_time,end_time,transfer,bandwidth
0.0,1.0,742 KBytes,6.08 Mbits/sec
1.0,2.0,1.37 MBytes,11.5 Mbits/sec
2.0,3.0,2.17 MBytes,18.2 Mbits/sec
3.0,4.0,2.05 MBytes,17.2 Mbits/sec
4.0,5.0,2.05 MBytes,17.2 Mbits/sec
5.0,6.0,1.99 MBytes,16.7 Mbits/sec
6.0,7.0,2.11 MBytes,17.7 Mbits/sec
7.0,8.0,1.86 MBytes,15.6 Mbits/sec
8.0,9.0,2.80 MBytes,23.5 Mbits/sec
9.0,10.0,2.17 MBytes,18.2 Mbits/sec
10.0,10.35,954 KBytes,22.2 Mbits/sec
0.0,10.35,20.2 MBytes,16.4 Mbits/sec
0.0,10.4,19.5 MBytes,15.8 Mbits/sec
