start_time,end_time,transfer,bandwidth
0.0,1.0,735 KBytes,6.02 Mbits/sec
1.0,2.0,764 KBytes,6.26 Mbits/sec
2.0,3.0,382 KBytes,3.13 Mbits/sec
3.0,4.0,509 KBytes,4.17 Mbits/sec
4.0,5.0,382 KBytes,3.13 Mbits/sec
5.0,6.0,509 KBytes,4.17 Mbits/sec
6.0,7.0,509 KBytes,4.17 Mbits/sec
7.0,8.0,636 KBytes,5.21 Mbits/sec
8.0,9.0,382 KBytes,3.13 Mbits/sec
9.0,10.0,509 KBytes,4.17 Mbits/sec
10.0,11.0,382 KBytes,3.13 Mbits/sec
11.0,12.0,509 KBytes,4.17 Mbits/sec
12.0,13.0,509 KBytes,4.17 Mbits/sec
13.0,14.0,255 KBytes,2.08 Mbits/sec
14.0,15.0,509 KBytes,4.17 Mbits/sec
15.0,16.0,636 KBytes,5.21 Mbits/sec
16.0,17.0,636 KBytes,5.21 Mbits/sec
17.0,18.0,1018 KBytes,8.34 Mbits/sec
18.0,18.5,509 KBytes,8.37 Mbits/sec
0.0,18.5,10.0 MBytes,4.55 Mbits/sec
0.0,18.53,9.79 MBytes,4.43 Mbits/sec
