start_time,end_time,transfer,bandwidth
0.0,1.0,1.12 MBytes,9.37 Mbits/sec
1.0,2.0,2.11 MBytes,17.7 Mbits/sec
2.0,3.0,1.74 MBytes,14.6 Mbits/sec
3.0,4.0,1.74 MBytes,14.6 Mbits/sec
4.0,5.0,1.74 MBytes,14.6 Mbits/sec
5.0,6.0,1.99 MBytes,16.7 Mbits/sec
6.0,7.0,1.86 MBytes,15.6 Mbits/sec
7.0,8.0,1.55 MBytes,13.0 Mbits/sec
8.0,9.0,1.86 MBytes,15.6 Mbits/sec
9.0,10.0,1.86 MBytes,15.6 Mbits/sec
10.0,11.0,1.99 MBytes,16.7 Mbits/sec
11.0,11.16,445 KBytes,22.3 Mbits/sec
0.0,11.16,20.0 MBytes,15.0 Mbits/sec
0.0,11.23,19.0 MBytes,14.2 Mbits/sec
