start_time,end_time,transfer,bandwidth
0.0,1.0,2.24 MBytes,18.8 Mbits/sec
1.0,2.0,3.29 MBytes,27.6 Mbits/sec
2.0,3.0,1.86 MBytes,15.6 Mbits/sec
3.0,4.0,1.55 MBytes,13.0 Mbits/sec
4.0,5.0,1.24 MBytes,10.4 Mbits/sec
5.0,6.0,954 KBytes,7.82 Mbits/sec
6.0,7.0,636 KBytes,5.21 Mbits/sec
7.0,8.0,954 KBytes,7.82 Mbits/sec
8.0,9.0,954 KBytes,7.82 Mbits/sec
9.0,10.0,636 KBytes,5.21 Mbits/sec
10.0,11.0,636 KBytes,5.21 Mbits/sec
11.0,12.0,954 KBytes,7.82 Mbits/sec
12.0,13.0,636 KBytes,5.21 Mbits/sec
13.0,14.0,954 KBytes,7.82 Mbits/sec
14.0,15.0,636 KBytes,5.21 Mbits/sec
15.0,16.0,954 KBytes,7.82 Mbits/sec
16.0,17.0,636 KBytes,5.21 Mbits/sec
17.0,17.45,636 KBytes,11.5 Mbits/sec
0.0,17.45,20.1 MBytes,9.68 Mbits/sec
0.0,17.47,19.3 MBytes,9.27 Mbits/sec
