start_time,end_time,transfer,bandwidth
0.0,1.0,1.84 MBytes,15.4 Mbits/sec
1.0,2.0,1.62 MBytes,13.6 Mbits/sec
2.0,3.0,1.62 MBytes,13.6 Mbits/sec
3.0,4.0,2.24 MBytes,18.8 Mbits/sec
4.0,5.0,2.11 MBytes,17.7 Mbits/sec
5.0,6.0,1.37 MBytes,11.5 Mbits/sec
6.0,7.0,1.43 MBytes,12.0 Mbits/sec
7.0,8.0,1.93 MBytes,16.2 Mbits/sec
8.0,9.0,1.86 MBytes,15.6 Mbits/sec
9.0,10.0,1.86 MBytes,15.6 Mbits/sec
10.0,11.0,2.05 MBytes,17.2 Mbits/sec
11.0,11.1,191 KBytes,16.2 Mbits/sec
0.0,11.1,20.1 MBytes,15.2 Mbits/sec
0.0,11.12,19.6 MBytes,14.8 Mbits/sec
