start_time,end_time,transfer,bandwidth
0.0,1.0,465 KBytes,3.81 Mbits/sec
1.0,2.0,509 KBytes,4.17 Mbits/sec
2.0,3.0,636 KBytes,5.21 Mbits/sec
3.0,4.0,891 KBytes,7.30 Mbits/sec
4.0,5.0,891 KBytes,7.30 Mbits/sec
5.0,6.0,636 KBytes,5.21 Mbits/sec
6.0,7.0,509 KBytes,4.17 Mbits/sec
7.0,8.0,509 KBytes,4.17 Mbits/sec
8.0,9.0,891 KBytes,7.30 Mbits/sec
9.0,10.0,764 KBytes,6.25 Mbits/sec
10.0,11.0,1.12 MBytes,9.38 Mbits/sec
11.0,12.0,954 KBytes,7.82 Mbits/sec
12.0,13.0,954 KBytes,7.82 Mbits/sec
13.0,13.47,573 KBytes,9.97 Mbits/sec
0.0,13.47,10.1 MBytes,6.28 Mbits/sec
0.0,13.51,9.63 MBytes,5.98 Mbits/sec
