start_time,end_time,transfer,bandwidth
0.0,1.0,675 KBytes,5.52 Mbits/sec
1.0,2.0,840 KBytes,6.88 Mbits/sec
2.0,3.0,1018 KBytes,8.34 Mbits/sec
3.0,4.0,1018 KBytes,8.34 Mbits/sec
4.0,5.0,1.12 MBytes,9.39 Mbits/sec
5.0,6.0,1.12 MBytes,9.38 Mbits/sec
6.0,7.0,1.37 MBytes,11.5 Mbits/sec
7.0,8.0,1.12 MBytes,9.39 Mbits/sec
8.0,9.0,891 KBytes,7.30 Mbits/sec
9.0,10.0,891 KBytes,7.30 Mbits/sec
10.0,11.0,764 KBytes,6.25 Mbits/sec
11.0,12.0,1018 KBytes,8.34 Mbits/sec
12.0,13.0,1.49 MBytes,12.5 Mbits/sec
13.0,14.0,1.62 MBytes,13.6 Mbits/sec
14.0,15.0,2.24 MBytes,18.8 Mbits/sec
15.0,16.0,2.42 MBytes,20.3 Mbits/sec
16.0,16.32,764 KBytes,19.4 Mbits/sec
0.0,16.32,20.2 MBytes,10.4 Mbits/sec
0.0,16.35,19.8 MBytes,10.2 Mbits/sec
