start_time,end_time,transfer,bandwidth
0.0,1.0,462 KBytes,3.79 Mbits/sec
1.0,2.0,670 KBytes,5.49 Mbits/sec
2.0,3.0,509 KBytes,4.17 Mbits/sec
3.0,4.0,509 KBytes,4.17 Mbits/sec
4.0,5.0,509 KBytes,4.17 Mbits/sec
5.0,6.0,509 KBytes,4.17 Mbits/sec
6.0,7.0,509 KBytes,4.17 Mbits/sec
7.0,8.0,636 KBytes,5.21 Mbits/sec
8.0,9.0,764 KBytes,6.26 Mbits/sec
9.0,10.0,764 KBytes,6.26 Mbits/sec
10.0,11.0,382 KBytes,3.13 Mbits/sec
11.0,12.0,509 KBytes,4.17 Mbits/sec
12.0,13.0,1018 KBytes,8.34 Mbits/sec
13.0,14.0,1018 KBytes,8.34 Mbits/sec
14.0,15.0,764 KBytes,6.26 Mbits/sec
15.0,15.81,764 KBytes,7.73 Mbits/sec
0.0,15.81,10.1 MBytes,5.33 Mbits/sec
0.0,15.87,9.79 MBytes,5.18 Mbits/sec
