start_time,end_time,transfer,bandwidth
0.0,1.0,554 KBytes,4.54 Mbits/sec
1.0,2.0,636 KBytes,5.21 Mbits/sec
2.0,3.0,509 KBytes,4.17 Mbits/sec
3.0,4.0,636 KBytes,5.21 Mbits/sec
4.0,5.0,255 KBytes,2.08 Mbits/sec
5.0,6.0,636 KBytes,5.21 Mbits/sec
6.0,7.0,636 KBytes,5.21 Mbits/sec
7.0,8.0,509 KBytes,4.17 Mbits/sec
8.0,9.0,382 KBytes,3.13 Mbits/sec
9.0,10.0,636 KBytes,5.21 Mbits/sec
10.0,11.0,509 KBytes,4.17 Mbits/sec
11.0,12.0,509 KBytes,4.17 Mbits/sec
12.0,13.0,509 KBytes,4.17 Mbits/sec
13.0,14.0,891 KBytes,7.30 Mbits/sec
14.0,15.0,1018 KBytes,8.34 Mbits/sec
15.0,16.0,509 KBytes,4.17 Mbits/sec
16.0,16.96,1018 KBytes,8.72 Mbits/sec
0.0,16.96,10.1 MBytes,5.00 Mbits/sec
0.0,17.0,9.82 MBytes,4.85 Mbits/sec
