start_time,end_time,transfer,bandwidth
0.0,1.0,658 KBytes,5.39 Mbits/sec
1.0,2.0,1.37 MBytes,11.5 Mbits/sec
2.0,3.0,1.93 MBytes,16.2 Mbits/sec
3.0,4.0,2.11 MBytes,17.7 Mbits/sec
4.0,5.0,2.80 MBytes,23.5 Mbits/sec
5.0,6.0,2.30 MBytes,19.3 Mbits/sec
6.0,7.0,1.24 MBytes,10.4 Mbits/sec
7.0,8.0,1.49 MBytes,12.5 Mbits/sec
8.0,9.0,1.49 MBytes,12.5 Mbits/sec
9.0,10.0,1.49 MBytes,12.5 Mbits/sec
10.0,11.0,1018 KBytes,8.34 Mbits/sec
11.0,12.0,1.24 MBytes,10.4 Mbits/sec
12.0,12.42,1.06 MBytes,21.0 Mbits/sec
0.0,12.42,20.2 MBytes,13.6 Mbits/sec
0.0,12.46,19.5 MBytes,13.2 Mbits/sec
