start_time,end_time,transfer,bandwidth
0.0,1.0,1.06 MBytes,8.90 Mbits/sec
1.0,2.0,2.30 MBytes,19.3 Mbits/sec
2.0,3.0,1.86 MBytes,15.6 Mbits/sec
3.0,4.0,1.24 MBytes,10.4 Mbits/sec
4.0,5.0,2.49 MBytes,20.9 Mbits/sec
5.0,6.0,2.49 MBytes,20.9 Mbits/sec
6.0,7.0,2.67 MBytes,22.4 Mbits/sec
7.0,8.0,1.55 MBytes,13.0 Mbits/sec
8.0,9.0,1.55 MBytes,13.0 Mbits/sec
9.0,10.0,1.24 MBytes,10.4 Mbits/sec
10.0,10.54,1.55 MBytes,24.2 Mbits/sec
0.0,10.54,20.0 MBytes,15.9 Mbits/sec
0.0,10.56,19.2 MBytes,15.3 Mbits/sec
