start_time,end_time,transfer,bandwidth
0.0,1.0,235 KBytes,1.92 Mbits/sec
1.0,2.0,206 KBytes,1.69 Mbits/sec
2.0,3.0,191 KBytes,1.56 Mbits/sec
3.0,4.0,294 KBytes,2.41 Mbits/sec
4.0,5.0,324 KBytes,2.65 Mbits/sec
5.0,6.0,191 KBytes,1.56 Mbits/sec
6.0,7.0,445 KBytes,3.65 Mbits/sec
7.0,8.0,509 KBytes,4.17 Mbits/sec
8.0,9.0,509 KBytes,4.17 Mbits/sec
9.0,10.0,382 KBytes,3.13 Mbits/sec
10.0,11.0,382 KBytes,3.13 Mbits/sec
11.0,12.0,382 KBytes,3.13 Mbits/sec
12.0,13.0,382 KBytes,3.13 Mbits/sec
13.0,14.0,382 KBytes,3.13 Mbits/sec
14.0,15.0,382 KBytes,3.13 Mbits/sec
15.0,16.0,700 KBytes,5.73 Mbits/sec
16.0,17.0,573 KBytes,4.69 Mbits/sec
17.0,18.0,382 KBytes,3.13 Mbits/sec
18.0,19.0,382 KBytes,3.13 Mbits/sec
19.0,20.0,382 KBytes,3.13 Mbits/sec
20.0,21.0,382 KBytes,3.13 Mbits/sec
21.0,22.0,573 KBytes,4.69 Mbits/sec
22.0,23.0,382 KBytes,3.13 Mbits/sec
23.0,24.0,382 KBytes,3.13 Mbits/sec
24.0,25.0,573 KBytes,4.69 Mbits/sec
25.0,25.72,382 KBytes,4.33 Mbits/sec
0.0,25.72,10.0 MBytes,3.28 Mbits/sec
0.0,25.79,9.64 MBytes,3.13 Mbits/sec
