start_time,end_time,transfer,bandwidth
0.0,1.0,911 KBytes,7.46 Mbits/sec
1.0,2.0,1.24 MBytes,10.4 Mbits/sec
2.0,3.0,1.93 MBytes,16.2 Mbits/sec
3.0,4.0,1.68 MBytes,14.1 Mbits/sec
4.0,5.0,1.86 MBytes,15.6 Mbits/sec
5.0,6.0,1.55 MBytes,13.0 Mbits/sec
6.0,7.0,1.86 MBytes,15.6 Mbits/sec
7.0,8.0,1.55 MBytes,13.0 Mbits/sec
8.0,9.0,2.17 MBytes,18.2 Mbits/sec
9.0,10.0,2.17 MBytes,18.2 Mbits/sec
10.0,11.0,1.86 MBytes,15.6 Mbits/sec
11.0,11.81,1.24 MBytes,12.8 Mbits/sec
0.0,11.81,20.0 MBytes,14.2 Mbits/sec
0.0,11.85,19.2 MBytes,13.6 Mbits/sec
