start_time,end_time,transfer,bandwidth
0.0,1.0,1.28 MBytes,10.7 Mbits/sec
1.0,2.0,1.12 MBytes,9.39 Mbits/sec
2.0,3.0,1.12 MBytes,9.38 Mbits/sec
3.0,4.0,1018 KBytes,8.34 Mbits/sec
4.0,5.0,1.12 MBytes,9.38 Mbits/sec
5.0,6.0,1.49 MBytes,12.5 Mbits/sec
6.0,7.0,1.37 MBytes,11.5 Mbits/sec
7.0,8.0,1.37 MBytes,11.5 Mbits/sec
8.0,9.0,1.62 MBytes,13.5 Mbits/sec
9.0,10.0,1.12 MBytes,9.39 Mbits/sec
10.0,11.0,764 KBytes,6.26 Mbits/sec
11.0,12.0,954 KBytes,7.82 Mbits/sec
12.0,13.0,954 KBytes,7.82 Mbits/sec
13.0,14.0,954 KBytes,7.82 Mbits/sec
14.0,15.0,764 KBytes,6.25 Mbits/sec
15.0,16.0,573 KBytes,4.69 Mbits/sec
16.0,17.0,1.12 MBytes,9.38 Mbits/sec
17.0,18.0,1.30 MBytes,11.0 Mbits/sec
18.0,18.05,191 KBytes,30.7 Mbits/sec
0.0,18.05,20.0 MBytes,9.31 Mbits/sec
0.0,18.07,19.6 MBytes,9.11 Mbits/sec
