start_time,end_time,transfer,bandwidth
0.0,1.0,1.78 MBytes,14.9 Mbits/sec
1.0,2.0,1.86 MBytes,15.6 Mbits/sec
2.0,3.0,2.17 MBytes,18.2 Mbits/sec
3.0,4.0,2.05 MBytes,17.2 Mbits/sec
4.0,5.0,2.05 MBytes,17.2 Mbits/sec
5.0,6.0,1.68 MBytes,14.1 Mbits/sec
6.0,7.0,1.49 MBytes,12.5 Mbits/sec
7.0,8.0,1.86 MBytes,15.6 Mbits/sec
8.0,9.0,2.05 MBytes,17.2 Mbits/sec
9.0,10.0,2.05 MBytes,17.2 Mbits/sec
10.0,10.33,1.06 MBytes,26.8 Mbits/sec
0.0,10.33,20.1 MBytes,16.3 Mbits/sec
0.0,10.35,19.6 MBytes,15.9 Mbits/sec
