start_time,end_time,transfer,bandwidth
0.0,1.0,1.02 MBytes,8.53 Mbits/sec
1.0,2.0,1.24 MBytes,10.4 Mbits/sec
2.0,3.0,1.30 MBytes,10.9 Mbits/sec
3.0,4.0,1.12 MBytes,9.38 Mbits/sec
4.0,5.0,764 KBytes,6.26 Mbits/sec
5.0,6.0,1.37 MBytes,11.5 Mbits/sec
6.0,7.0,1.12 MBytes,9.38 Mbits/sec
7.0,8.0,1.12 MBytes,9.38 Mbits/sec
8.0,9.0,1.12 MBytes,9.38 Mbits/sec
9.0,10.0,1.49 MBytes,12.5 Mbits/sec
10.0,11.0,1.49 MBytes,12.5 Mbits/sec
11.0,12.0,1.49 MBytes,12.5 Mbits/sec
12.0,13.0,1.68 MBytes,14.1 Mbits/sec
13.0,14.0,1.74 MBytes,14.6 Mbits/sec
14.0,15.0,1.80 MBytes,15.1 Mbits/sec
15.0,15.08,255 KBytes,26.3 Mbits/sec
0.0,15.08,20.1 MBytes,11.2 Mbits/sec
0.0,15.35,19.5 MBytes,10.7 Mbits/sec
