start_time,end_time,transfer,bandwidth
0.0,1.0,691 KBytes,5.66 Mbits/sec
1.0,2.0,455 KBytes,3.73 Mbits/sec
2.0,3.0,512 KBytes,4.19 Mbits/sec
3.0,4.0,636 KBytes,5.21 Mbits/sec
4.0,5.0,382 KBytes,3.13 Mbits/sec
5.0,6.0,382 KBytes,3.13 Mbits/sec
6.0,7.0,509 KBytes,4.17 Mbits/sec
7.0,8.0,764 KBytes,6.26 Mbits/sec
8.0,9.0,764 KBytes,6.26 Mbits/sec
9.0,10.0,509 KBytes,4.17 Mbits/sec
10.0,11.0,509 KBytes,4.17 Mbits/sec
11.0,12.0,509 KBytes,4.17 Mbits/sec
12.0,13.0,636 KBytes,5.21 Mbits/sec
13.0,14.0,636 KBytes,5.21 Mbits/sec
14.0,15.0,764 KBytes,6.25 Mbits/sec
15.0,16.0,509 KBytes,4.17 Mbits/sec
16.0,17.0,509 KBytes,4.17 Mbits/sec
17.0,17.86,636 KBytes,6.07 Mbits/sec
0.0,17.86,10.1 MBytes,4.73 Mbits/sec
0.0,17.88,9.85 MBytes,4.62 Mbits/sec
