start_time,end_time,transfer,bandwidth
0.0,1.0,993 KBytes,8.13 Mbits/sec
1.0,2.0,1018 KBytes,8.34 Mbits/sec
2.0,3.0,1.37 MBytes,11.5 Mbits/sec
3.0,4.0,1018 KBytes,8.34 Mbits/sec
4.0,5.0,1.30 MBytes,10.9 Mbits/sec
5.0,6.0,1.12 MBytes,9.38 Mbits/sec
6.0,7.0,1.30 MBytes,10.9 Mbits/sec
7.0,8.0,1.49 MBytes,12.5 Mbits/sec
8.0,9.0,1.68 MBytes,14.1 Mbits/sec
9.0,10.0,1.68 MBytes,14.1 Mbits/sec
10.0,11.0,1.86 MBytes,15.6 Mbits/sec
11.0,12.0,2.61 MBytes,21.9 Mbits/sec
12.0,13.0,2.42 MBytes,20.3 Mbits/sec
13.0,13.08,382 KBytes,37.8 Mbits/sec
0.0,13.08,20.2 MBytes,12.9 Mbits/sec
0.0,13.11,19.8 MBytes,12.7 Mbits/sec
