start_time,end_time,transfer,bandwidth
0.0,1.0,465 KBytes,3.81 Mbits/sec
1.0,2.0,954 KBytes,7.82 Mbits/sec
2.0,3.0,1018 KBytes,8.34 Mbits/sec
3.0,4.0,1.12 MBytes,9.38 Mbits/sec
4.0,5.0,1.43 MBytes,12.0 Mbits/sec
5.0,6.0,1018 KBytes,8.34 Mbits/sec
6.0,7.0,1.06 MBytes,8.86 Mbits/sec
7.0,8.0,1.49 MBytes,12.5 Mbits/sec
8.0,9.0,1.49 MBytes,12.5 Mbits/sec
9.0,10.0,1.49 MBytes,12.5 Mbits/sec
10.0,11.0,1.74 MBytes,14.6 Mbits/sec
11.0,12.0,1.74 MBytes,14.6 Mbits/sec
12.0,13.0,1.86 MBytes,15.6 Mbits/sec
13.0,14.0,2.11 MBytes,17.7 Mbits/sec
14.0,14.53,1.12 MBytes,17.9 Mbits/sec
0.0,14.53,20.0 MBytes,11.6 Mbits/sec
0.0,14.61,19.2 MBytes,11.0 Mbits/sec
