start_time,end_time,transfer,bandwidth
0.0,1.0,338 KBytes,2.77 Mbits/sec
1.0,2.0,665 KBytes,5.45 Mbits/sec
2.0,3.0,764 KBytes,6.26 Mbits/sec
3.0,4.0,382 KBytes,3.13 Mbits/sec
4.0,5.0,509 KBytes,4.17 Mbits/sec
5.0,6.0,636 KBytes,5.21 Mbits/sec
6.0,7.0,1018 KBytes,8.34 Mbits/sec
7.0,8.0,954 KBytes,7.82 Mbits/sec
8.0,9.0,954 KBytes,7.82 Mbits/sec
9.0,10.0,1.12 MBytes,9.38 Mbits/sec
10.0,11.0,1.18 MBytes,9.90 Mbits/sec
11.0,12.0,509 KBytes,4.17 Mbits/sec
12.0,13.0,509 KBytes,4.17 Mbits/sec
13.0,14.0,509 KBytes,4.17 Mbits/sec
14.0,14.13,255 KBytes,16.5 Mbits/sec
0.0,14.13,10.1 MBytes,6.01 Mbits/sec
0.0,14.21,9.56 MBytes,5.64 Mbits/sec
